Target,F1254,e_F1254,F1293,e_F1293,F1283,e_F1283,ObsDate
V* HT Lup,77,--,--,--,--,--,averaged
V* GW Lup,89,--,--,--,--,--,averaged
V* IM Lup,253,--,--,--,--,--,averaged
V* RU Lup,203,--,--,--,--,--,averaged
Sz 114,49,--,--,--,--,--,averaged
Sz 129,86,--,--,--,--,--,averaged
V* MY Lup,79,--,--,--,--,--,averaged
HD 142666,--,--,130,--,--,--,averaged
HD 143006,59,--,--,--,--,--,averaged
EM* AS 205,--,--,--,--,358,--,averaged
EM* SR 4,69,--,--,--,--,--,averaged
Elia 2-20,104,--,--,--,--,--,averaged
DoAr 25,246,--,--,--,--,--,averaged
2MASS J16262407-2416134,--,--,352,--,--,--,averaged
2MASS J16264502-2423077,--,--,330,--,--,--,averaged
DoAr 33,35,--,--,--,--,--,averaged
WSB 52,67,--,--,--,--,--,averaged
2MASS J16484562-1416359,161,--,--,--,--,--,averaged
EM* AS 209,288,--,--,--,--,--,averaged
HD 163296,715,--,--,--,--,--,averaged
