Target,F1330,eF1330,ObsDate
Sz 65,29.94,0.2,unknown
Sz 66,6.42,0.18,unknown
2MASS J15430131-3409153,-0.24,0.09,unknown
2MASS J15430227-3444059,0,0.09,unknown
2MASS J15445789-3423392,0.12,0.09,unknown
2MASS J15450634-3417378,6.18,0.15,unknown
2MASS J15450887-3417333,20.7,0.18,unknown
Sz 68,66.38,0.2,unknown
Sz 68 B,3.35,0.10,unknown
Sz 69,8.05,0.15,unknown
Sz 71,69.15,0.31,unknown
Sz 72,5.54,0.11,unknown
Sz 73,10.84,0.18,unknown
Sz 74,8.2,0.3,unknown
Sz 75,34.1,0.2,unknown
Sz 76,4.7,0.3,unknown
Sz 77,1.9,0.1,unknown
NAME Sz 81A,4.24,0.11,unknown
NAME Sz 81B,1.45,0.10,unknown
2MASS J15560210-3655282,23.5,0.2,unknown
Sz 82,205,6,unknown
Sz 83,166.9,0.34,unknown
Sz 84,12.63,0.21,unknown
Sz 129,75.9,0.3,unknown
2MASS J15592523-4235066,0.54,0.09,unknown
V* RY Lup,86.11,0.68,unknown
2MASS J16000060-4221567,0.97,0.09,unknown
2MASS J16000236-4222145,49.96,0.38,unknown
2MASS J16002612-4153553,0.42,0.09,unknown
Sz 130,1.97,0.18,unknown
V* MY Lup,67.11,0.28,unknown
Sz 131,3.37,0.14,unknown
2MASS J16011549-4152351,21.76,0.28,unknown
V* EX Lup,19.5,0.3,unknown
Sz 133,27.02,0.24,unknown
NAME Sz 88A,3.72,0.11,unknown
NAME Sz 88B,0.12,0.1,unknown
2MASS J16070384-3911113 A,0.98,0.29,unknown
2MASS J16070384-3911113 B,0.38,0.10,unknown
2MASS J16070854-3914075,34.77,0.54,unknown
Sz 90,8.74,0.16,unknown
Sz 91,9.52,0.44,unknown
2MASS J16073773-3921388 A,0.52,0.09,unknown
2MASS J16073773-3921388 B,0.45,0.10,unknown
Sz 95,1.8,0.14,unknown
2MASS J16075475-3915446,0.49,0.09,unknown
2MASS J16080017-3902595,1.23,0.09,unknown
2MASS J16080175-3912316,-0.04,0.09,unknown
Sz 96,1.42,0.09,unknown
2MASS J16081497-3857145,3.4,0.15,unknown
Sz 97,1.97,0.09,unknown
Sz 98,103.35,0.63,unknown
Sz 99,-0.23,0.09,unknown
Sz 100,21.71,0.29,unknown
SSTc2d J160828.1-391310,0,0.09,unknown
Sz 102,6.2,0.3,unknown
Sz 103,4.76,0.13,unknown
2MASS J16083070-3828268,38.76,0.32,unknown
Sz 104,1.07,0.09,unknown
SSTc2d J160831.1-385600,-0.16,0.09,unknown
V* V856 Sco,23.03,0.11,unknown
V* V856 Sco B,8.21,0.10,unknown
V* V1094 Sco,180,7,unknown
Sz 106,0.71,0.09,unknown
NAME Sz 108B,11.88,0.19,unknown
2MASS J16084940-3905393,0.69,0.09,unknown
V* V1192 Sco,0.35,0.09,unknown
Sz 110,7.37,0.17,unknown
2MASS J16085324-3914401,7.98,0.15,unknown
2MASS J16085373-3914367,1.04,0.09,unknown
Sz 111,60.29,0.49,unknown
2MASS J16085529-3848481,0.71,0.09,unknown
Sz 112,1.45,0.09,unknown
Sz 113,10.46,0.16,unknown
2MASS J16085828-3907355,0.01,0.09,unknown
2MASS J16085834-3907491,0,0.09,unknown
2MASS J16090141-3925119,5.53,0.41,unknown
Sz 114,41.45,0.25,unknown
Sz 115,-0.2,0.09,unknown
2MASS J16091644-3904438,0.08,0.1,unknown
2MASS J16092032-3904015,-0.05,0.09,unknown
2MASS J16092317-3904074,0.01,0.09,unknown
2MASS J16092697-3836269,1.76,0.15,unknown
SSTc2d J160934.2-391513,-0.24,0.09,unknown
2MASS J16093928-3904316,0.05,0.09,unknown
Sz 117,4.26,0.09,unknown
Sz 118,23.45,0.26,unknown
2MASS J16095628-3859518,2.99,0.09,unknown
2MASS J16100133-3906449,-0.06,0.09,unknown
2MASS J16101307-3846165,-0.02,0.09,unknown
2MASS J16101857-3836125,0.09,0.09,unknown
2MASS J16101984-3836065,-0.06,0.09,unknown
2MASS J16102741-3902299,-0.06,0.09,unknown
2MASS J16102955-3922144,2.94,0.22,unknown
Sz 123 B,-0.21,0.1,unknown
Sz 123 A,16.06,0.34,unknown
2MASS J16115979-3823383,0.09,0.09,unknown
2MASS J16120445-3809589,0.05,0.09,unknown
2MASS J16124373-3815031,11.77,0.16,unknown
2MASS J16134410-3736462,0.69,0.09,unknown
