Target,F880,e_F880,ObsDate
2MASS J15354856-2958551,1.92,0.15,unknown
2MASS J15514032-2146103,0.76,0.16,unknown
2MASS J15521088-2125372,-0.1,0.15,unknown
2MASS J15530132-2114135,5.78,0.14,unknown
2MASS J15534211-2049282,2.93,0.29,unknown
2MASS J15551704-2322165,0.11,0.15,unknown
2MASS J15554883-2512240,-0.14,0.15,unknown
2MASS J15562477-2225552,0.28,0.18,unknown
2MASS J15570641-2206060,0.32,0.2,unknown
2MASS J15572986-2258438,-0.04,0.2,unknown
2MASS J15581270-2328364,0,0.15,unknown
2MASS J15582981-2310077,5.86,0.18,unknown
2MASS J15583692-2257153,174.92,0.27,unknown
2MASS J15584772-1757595,-0.2,0.15,unknown
2MASS J16001330-2418106,0.05,0.15,unknown
2MASS J16001730-2236504,0.1,0.15,unknown
2MASS J16001844-2230114,3.89,0.15,unknown
2MASS J16014086-2258103,3.45,0.14,unknown
2MASS J16014157-2111380,0.66,0.14,unknown
2MASS J16020039-2221237,-0.08,0.14,unknown
2MASS J16020287-2236139,0.04,0.15,unknown
2MASS J16020757-2257467,5.26,0.27,unknown
2MASS J16024152-2138245,10.25,0.19,unknown
2MASS J16025123-2401574,0.07,0.15,unknown
2MASS J16030161-2207523,2.81,0.12,unknown
2MASS J16031329-2112569,0.06,0.12,unknown
2MASS J16032225-2413111,2.42,0.15,unknown
2MASS J16035767-2031055,4.3,0.39,unknown
2MASS J16035793-1942108,1.17,0.14,unknown
2MASS J16041740-1942287,0.89,0.14,unknown
2MASS J16042165-2130284,218.76,0.81,unknown
2MASS J16043916-1942459,0.49,0.15,unknown
2MASS J16050231-1941554,-0.16,0.15,unknown
2MASS J16052459-1954419,0.22,0.15,unknown
2MASS J16052556-2035397,1.53,0.2,unknown
2MASS J16052661-1957050,0.07,0.15,unknown
2MASS J16053215-1933159,0.25,0.2,unknown
2MASS J16054540-2023088,7.64,0.15,unknown
2MASS J16055863-1949029,-0.08,0.15,unknown
2MASS J16060061-1957114,0,0.13,unknown
2MASS J16061330-2212537,-0.2,0.12,unknown
2MASS J16062196-1928445,4.08,0.52,unknown
2MASS J16062277-2011243,0.59,0.14,unknown
2MASS J16063539-2516510,1.69,0.15,unknown
2MASS J16064102-2455489,3.05,0.14,unknown
2MASS J16064115-2517044,0.2,0.15,unknown
2MASS J16064385-1908056,0.84,0.15,unknown
2MASS J16070014-2033092,0.22,0.15,unknown
2MASS J16070211-2019387,-0.09,0.2,unknown
2MASS J16070873-1927341,-0.09,0.15,unknown
2MASS J16071971-2020555,0.16,0.16,unknown
2MASS J16072625-2432079,13.12,0.24,unknown
2MASS J16072747-2059442,2.13,0.12,unknown
2MASS J16073939-1917472,0.58,0.16,unknown
2MASS J16075796-2040087,23.49,0.12,unknown
2MASS J16080555-2218070,0.02,0.12,unknown
2MASS J16081566-2222199,0.97,0.12,unknown
2MASS J16082324-1930009,43.19,0.81,unknown
2MASS J16082751-1949047,0.76,0.13,unknown
2MASS J16083455-2211559,0.01,0.12,unknown
2MASS J16084894-2400045,-0.06,0.15,unknown
2MASS J16090002-1908368,1.73,0.13,unknown
2MASS J16090075-1908526,47.28,0.91,unknown
2MASS J16093558-1828232,0.69,0.15,unknown
2MASS J16094098-2217594,0.44,0.12,unknown
2MASS J16095361-1754474,0.87,0.16,unknown
2MASS J16095441-1906551,0.5,0.16,unknown
2MASS J16095933-1800090,0.67,0.18,unknown
2MASS J16101473-1919095,0.01,0.16,unknown
2MASS J16101888-2502325,0.3,0.14,unknown
2MASS J16102174-1904067,-0.05,0.16,unknown
2MASS J16102819-1910444,0.05,0.16,unknown
2MASS J16102857-1904469,0.66,0.16,unknown
2MASS J16103956-1916524,0.07,0.16,unknown
2MASS J16104202-2101319,0.17,0.12,unknown
2MASS J16104636-1840598,1.78,0.16,unknown
2MASS J16111330-2019029,4.88,0.16,unknown
2MASS J16111534-1757214,0.18,0.16,unknown
2MASS J16112057-1820549,-0.06,0.16,unknown
2MASS J16113134-1838259,903.56,0.85,unknown
2MASS J16115091-2012098,0.66,0.16,unknown
2MASS J16122737-2009596,0.53,0.16,unknown
2MASS J16123916-1859284,6.01,0.29,unknown
2MASS J16124893-1800525,0.11,0.16,unknown
2MASS J16125533-2319456,0.08,0.13,unknown
2MASS J16130996-1904269,-0.05,0.16,unknown
2MASS J16133650-2503473,0.88,0.19,unknown
2MASS J16135434-2320342,7.53,0.13,unknown
2MASS J16141107-2305362,4.77,0.14,unknown
2MASS J16142029-1906481,40.69,0.22,unknown
2MASS J16142893-1857224,0.1,0.16,unknown
2MASS J16143367-1900133,1.24,0.16,unknown
2MASS J16145918-2750230,0.03,0.19,unknown
2MASS J16145928-2459308,-0.03,0.12,unknown
2MASS J16151239-2420091,0.22,0.12,unknown
2MASS J16153456-2242421,11.75,0.12,unknown
2MASS J16154416-1921171,23.57,0.16,unknown
2MASS J16163345-2521505,2.88,0.3,unknown
2MASS J16181618-2619080,-0.07,0.12,unknown
2MASS J16181904-2028479,4.62,0.12,unknown
2MASS J16215466-2043091,0.49,0.12,unknown
2MASS J16220961-1953005,0.07,0.16,unknown
2MASS J16230783-2300596,-0.35,0.12,unknown
2MASS J16235385-2946401,0.11,0.12,unknown
2MASS J16270942-2148457,2.87,0.12,unknown
2MASS J16303390-2428062,0.6,0.12,unknown
