Target,F870,e_F870,ObsDate
2MASS J16213192-2301403,9.63,0.49,averaged
V* V935 Sco,72.9,2.3,averaged
IRAS 16201-2410,114.3,9.7,averaged
2MASS J16233609-2402209,7.12,0.31,averaged
WDS J16250-2500A,27.74,0.77,averaged
WDS J16250-2500B,19.60,0.7,averaged
DoAr 21,0.89,0.89,averaged
WDS J16264-2421Ca,46.75,0.4,averaged
WDS J16264-2421Cb,38.36,0.38,averaged
DoAr 25,515,18,averaged
Elia 2-24,489,39,averaged
[GY92] 33,23.45,0.84,averaged
WSB 38 Aa,0.8,0.8,averaged
WSB 38 Ab,0.8,0.8,averaged
WSB 38 B,15.41,0.38,averaged
WSB 40,8.83,0.24,averaged
EM* SR 24 Aa,1.2,1.2,averaged
EM* SR 24 Ab,1.2,1.2,averaged
EM* SR 24B,624,73,averaged
[GY92] 211,91.2,1.2,averaged
[GY92] 224,126.2,2.4,averaged
[GY92] 235,51,1.1,averaged
[GY92] 284,2.79,0.19,averaged
YLW 47,82.73,0.94,averaged
DoAr 33,76.4,1.4,averaged
[GY92] 314,151.9,2.5,averaged
EM* SR 9 A,14.83,0.48,averaged
EM* SR 9 B,3.02,0.036,averaged
EM* SR 20 W,64.1,2.9,averaged
EM* SR 13 Aab,148,12,averaged
EM* SR 13 B,0.85,0.85,averaged
WSB 63,30.55,0.48,averaged
WSB 67,16.82,0.49,averaged
ROXs 42C a,4.14,0.18,averaged
ROXs 42C b,0.89,0.89,averaged
DoAr 43 a,36.29,0.78,averaged
DoAr 43 b,6.58,0.32,averaged
2MASS J16313124-2426281,124.8,2.4,averaged
DoAr 44,262,41,averaged
2MASS J16314457-2402129,18.81,0.32,averaged
NAME LDN 1689 IRS 5 A,94.4,2.7,averaged
NAME LDN 1689 IRS 5 Ba,1,1,averaged
NAME LDN 1689 IRS 5 Bb,5.47,0.33,averaged
WSB 74,0.71,0.71,averaged
DoAr 51 A,0.75,0.75,averaged
DoAr 51 B,0.75,0.75,averaged
WLY 2-69 A,33.43,0.96,averaged
WLY 2-69 B,6.32,0.25,averaged
Haro 1-17,8.87,0.41,averaged
2MASS J16335560-2442049 AB,233,28,averaged
WSB 82,437,19,averaged
2MASS J16214513-2342316,94.3,4.3,averaged
2MASS J16263682-2415518 a,46.3,4.5,averaged
WL 6,18.73,0.73,averaged
[GY92] 312,92.9,2,averaged
2MASS J16274161-2446447,31.3,0.95,averaged
[GY92] 344,0.74,0.74,averaged
YLW 52 a,5.46,0.72,averaged
YLW 52 b,0.7,0.7,averaged
WSB 60,232.2,9.6,averaged
2MASS J16313383-2404466,5.52,0.48,averaged
IRAS 16285-2355,776,35,averaged
2MASS J16442430-2401250,0.80,0.80,averaged
Haro 1-11,11.21,0.62,averaged
