Target,F1300,e_F1300,ObsDate
NAME T Tau N,179.72,0.19,2017Aug
NAME UY Aur A,20.09,0.82,2017Aug
V* RW Aur A,35.61,0.19,2017Aug
V* DK Tau A,30.08,0.18,2017Aug
NAME HK Tau A,33.15,0.23,2017Aug
WDS J05054+2532A,36.8,0.1,2017Aug
V* DH Tau A,26.68,0.18,2017Aug
V* V710 Tau A,55.20,0.20,2017Aug
NAME HN Tau A,12.30,0.37,2017Aug
V* UZ Tau E,131.9,0.2,2017Aug
NAME T Tau S,9.72,0.48,2017Aug
NAME UY Aur B,5.78,0.81,2017Aug
V* RW Aur B,4.11,1.40,2017Aug
V* DK Tau B,2.45,1.89,2017Aug
NAME HK Tau B,15.85,0.28,2017Aug
WDS J05054+2532B,0.32,0.03,2017Aug
V* HN Tau B,0.23,0.04,2017Aug
V* UZ Tau W a,14.42,0.26,2017Aug
V* UZ Tau W b,15.57,0.24,2017Aug
