Target,F890,e_F890,F880,e_F880,F850,e_F850,F1300,e_F1300,F435,e_F435,ObsDate
2MASS J16083070-3828268,128.86,1.08,--,--,--,--,--,--,--,--,unknown
V* RY Lup,263.87,1.25,--,--,--,--,--,--,--,--,unknown
Sz 111,176.71,1.21,--,--,--,--,--,--,--,--,unknown
Sz 100,53.61,0.37,--,--,--,--,--,--,--,--,unknown
2MASS J16070854-3914075,85.03,1.26,--,--,--,--,--,--,--,--,unknown
Sz 118,59.71,0.63,--,--,--,--,--,--,--,--,unknown
Sz 123,39.65,0.64,--,--,--,--,--,--,--,--,unknown
2MASS J15583692-2257153,--,--,175.30,0.36,--,--,--,--,--,--,unknown
2MASS J16042165-2130284,--,--,--,--,--,--,69.07,0.80,--,--,unknown
2MASS J10581677-7717170,329.96,2.62,--,--,--,--,--,--,--,--,unknown
2MASS J10563044-7711393,141.85,2.96,--,--,--,--,--,--,--,--,unknown
DoAr 44,180.40,0.20,--,--,--,--,--,--,--,--,unknown
HD 100546,1135.32,2.04,--,--,--,--,--,--,--,--,unknown
HD 135344B,606.89,0.41,--,--,--,--,--,--,--,--,unknown
EM* LkCa 15,--,--,--,--,--,--,--,--,1458.14,8.58,unknown
EM* SR 21,347.03,0.19,--,--,--,--,--,--,--,--,unknown
EM* SR 24S,--,--,--,--,--,--,227.18,0.15,--,--,unknown
Sz 91,34.33,2.13,--,--,--,--,--,--,--,--,unknown
V* T Cha,225.21,0.22,--,--,--,--,--,--,--,--,unknown
HD 34282,--,--,--,--,333.67,0.61,--,--,--,--,unknown
[BCG93] 1,35.40,0.15,--,--,--,--,--,--,--,--,unknown
V* CQ Tau,--,--,--,--,--,--,172.17,0.14,--,--,unknown
V* RY Tau,--,--,--,--,--,--,232.45,0.27,--,--,unknown
V* UX Tau A,--,--,--,--,--,--,64.94,0.08,--,--,unknown
V* V892 Tau,--,--,--,--,--,--,286.71,0.18,--,--,unknown
2MASS J16230923-2417047,--,--,--,--,--,--,96.42,0.36,--,--,unknown
