Target,F890,e_F890,ObsDate
BKLT J162618-242951,1.0,0.08,2014Apr
CRBR 2317.3-1925,1.5,0.16,2014Apr
[GY92] 5,4.8,0.15,2014Apr
[GY92] 3,1.80,0.1,2014Apr
[RR90] Oph 2320.8-1721,1.3,0.18,2014Apr
[GY92] 15,0.9,0.9,2014Apr
CRBR 2322.3-1143,0.6,0.6,2014Apr
VSSG 29,4.2,0.19,2014Apr
[GY92] 202,0.5,0.5,2014Apr
[GY92] 204,3.8,0.19,2014Apr
BKLT J162726-241925,2.0,0.085,2014Apr
[GY92] 264,4.1,0.09,2014Apr
BKLT J162737-241756,7.60,0.20,2014Apr
[GY92] 310,0.8,0.8,2014Apr
[GY92] 320,0.4,0.4,2014Apr
[GY92] 350,0.5,0.5,2014Apr
BKLT J162812-241138,8.7,0.20,2014Apr
