Target,F6700,e_F6700,F7000,e_F7000,F7300,e_F7300,F16100,e_F16100,F16200,e_F16200,F15400,e_F15400,F34700,e_F34700,F62500,e_F62500,ObsDate
V* WW Cha,--,--,5.41,0.32,3.93,0.29,--,--,--,--,--,--,--,--,--,--,2007Oct05
V* WW Cha,--,--,5.10,0.19,5.19,0.17,--,--,1.07,0.10,0.88,0.12,--,--,--,--,2008Mar31
V* WW Cha,--,--,--,--,--,--,1.16,0.31,1.04,0.30,--,--,--,--,--,--,2006May08
V* WW Cha,--,--,--,--,--,--,0.921,0.921,1.08,0.21,--,--,--,--,--,--,2006Oct13
V* WW Cha,--,--,--,--,--,--,0.81,0.20,1.23,0.19,--,--,0.222,0.222,0.202,0.202,2006Oct18
V* WW Cha,--,--,--,--,--,--,--,--,0.95,0.13,1.01,0.16,--,--,--,--,2007Oct24
V* WW Cha,--,--,--,--,--,--,--,--,0.48,0.13,0.55,0.20,--,--,--,--,2007Nov02
V* WW Cha,--,--,--,--,--,--,--,--,--,--,--,--,0.63,0.06,0.399,0.399,2007Jun09
V* RU Lup,--,--,1.83,0.25,1.52,0.24,--,--,--,--,--,--,--,--,--,--,2007Oct06
V* RU Lup,--,--,--,--,--,--,2.28,0.09,2.38,0.09,--,--,--,--,--,--,2006Oct11
V* RU Lup,--,--,--,--,--,--,--,--,0.85,0.85,1.08,1.08,--,--,--,--,2007Oct24
V* RU Lup,--,--,--,--,--,--,--,--,0.51,0.11,0.39,0.39,0.49,0.49,0.44,0.44,2007Nov04
V* RU Lup,--,--,--,--,--,--,--,--,--,--,--,--,0.27,0.27,0.36,0.07,2006Oct12
V* RU Lup,--,--,--,--,--,--,--,--,--,--,--,--,0.35,0.12,0.72,0.10,2006Oct13
V* RU Lup,--,--,--,--,--,--,--,--,--,--,--,--,0.25,0.25,0.40,0.07,2007Jun09
V* CS Cha,--,--,1.00,0.28,0.92,0.25,--,--,--,--,--,--,--,--,--,--,2008Apr26
V* CS Cha,0.82,0.82,0.71,0.71,--,--,--,--,--,--,--,--,--,--,--,--,2008Jul05
V* CS Cha,1.11,1.11,1.38,0.26,--,--,--,--,--,--,--,--,--,--,--,--,2008Jul06
