Target,f_F1200,F1200,e_F1200,f_F3000,F3000,e_F3000,f_F7000,F7000,e_F7000,f_F15mm,F15mm,e_F15mm,f_F3cm,F3cm,e_F3cm,f_6cm,F6cm,e_F6cm,
V* SY Cha,<,172.0,172.0,<,4.8,4.8,<,0.9,0.9 --,–-,--,-–,--,--,–-,--,--
V* CR Cha,--,124.9,24.2,--,6.2,1.5,--,1.7,0.1,--,0.3,0.1,-–,--,--,–-,--,--
V* CS Cha,--,128.4,45.6,--,9.4,0.6,--,1.5,0.1,<,0.3,0.3,-–,--,--,–-,--,--
V* DI Cha,--,38.0,11.4,--,2.3,0.3,--,0.9,0.1,<,0.3,0.3,–-,--,--,–-,--,--
V* T Cha,--,105.0,17.7,--,6.4,1.0,--,3.0,0.1,--,0.3,0.1,<,0.3,0.3,--,0.3,0.1
Glass I,--,69.9,22.4,--,4.4,0.1,--,0.7,0.1,--,–-,--,–-,--,--,–-,--,--
V* SZ Cha,--,77.5,20.3,--,5.8,0.5,--,0.7,0.1,–-,--,--,–-,--,--,–-,--,--
Sz 32,--,93.1,20.8,--,3.1,0.2,--,1.2,0.1,--,0.4,0.1,<,0.3,0.3,<,0.3,0.3
V* DK Cha,--,680.0,22.0,--,49.8,1.3,--,6.6,0.6,--,1.6,0.1,--,0.8,0.1,<,0.3,0.3
V* IK Lup,--,28.0,2.8,--,3.4,0.4,--,0.9,0.1,--,–-,--,–-,--,--,–-,--,--
Sz 66,<,8.0,8.0,--,2.2,0.4,<,0.3,0.3,–-,--,--,–-,--,--,–-,--,--
V* HT Lup,--,73.0,4.0,--,12.0,1.1,--,3.4,0.1,–-,--,--,–-,--,--,–-,--,--
V* GQ Lup,--,25.0,3.0,--,3.6,0.3,--,0.6,0.1,–-,--,--,–-,--,--,–-,--,--
V* GW Lup,--,64.0,3.7,--,8.5,1.9,--,0.6,0.1,–-,--,--,–-,--,--,–-,--,--
V* RY Lup,--,89.0,4.9,--,2.8,0.7,--,1.0,0.1,–-,--,--,–-,--,--,–-,--,--
V* HK Lup,--,101.0,3.9,--,7.3,2.1,--,1.0,0.1,–-,--,--,–-,--,--,–-,--,--
Sz 111,--,52.5,4.2,--,5.7,0.7,--,0.5,0.1,–-,--,--,–-,--,--,–-,--,--
V* EX Lup,--,21.3,4.0,--,2.0,0.3,--,1.4,0.1,–-,--,--,–-,--,--,–-,--,--
V* MY Lup,--,66.1,3.4,--,8.7,0.4,--,1.1,0.1,–-,--,--,–-,--,--,–-,--,--
RX J1615.3−3255,--,169.1,3.9,--,6.7,0.6,--,0.8,0.2,–-,--,--,–-,--,--,–-,--,--
