Target,F350,e_F350,F1200,e_F1200,ObsDate
[PZ99] J161411.0-230536,--,--,3.5,1.1,unknown
[PZ99] J161411.0-230536,21.9,21.9,--,--,2005Apr
2MASS J03440424+2459233,--,--,3.28,3.28,unknown
2MASS J03450400+2515282,--,--,2.6,2.6,unknown
2MASS J16294869-2152118,72,72,--,--,2005Apr
BD+22 553,--,--,2.3,2.3,unknown
HD 104860,--,--,4.4,1.1,unknown
HD 104860,50.1,9.3,--,--,2005Apr
HD 107146,319,6,--,--,2005Apr
HD 117176,--,--,14.1,14.1,unknown
HD 12039,--,--,2.7,2.7,unknown
HD 122652,--,--,3.2,3.2,unknown
HD 122652,19.5,19.5,--,--,2005Apr
HD 134319,--,--,8.5,8.5,unknown
HD 134319,25.2,25.2,--,--,2005Apr
HD 135363,--,--,2.22,2.22,unknown
HD 136923,--,--,3.2,3.2,unknown
HD 143006,1400,39,--,--,2005Apr
HD 145229,--,--,2.8,2.8,unknown
HD 145229,22.5,22.5,--,--,2005Apr
HD 150706,--,--,3.2,3.2,unknown
HD 191089,--,--,3.6,3.6,unknown
HD 191089,54,15,--,--,2005Apr
HD 201219,--,--,4.1,4.1,unknown
HD 204277,--,--,2.1,2.1,unknown
HD 205905,--,--,4.6,4.6,unknown
HD 206374,--,--,3.9,3.9,unknown
HD 218738,--,--,3.3,3.3,unknown
HD 218738,21.9,21.9,--,--,2005Apr
HD 219498,--,--,4.8,4.8,unknown
HD 22179,--,--,3.3,3.3,unknown
HD 25457,--,--,2.2,2.2,unknown
HD 282954,--,--,2.3,2.3,unknown
HD 35850,--,--,3.7,3.7,unknown
HD 377,--,--,4,1,unknown
HD 38207,--,--,0.33,0.33,unknown
HD 38529,--,--,3.2,3.2,unknown
HD 60737,--,--,4.5,4.5,unknown
HD 61005,95,12,--,--,2005Apr
HD 61994,--,--,2.6,2.6,unknown
HD 69076,--,--,2.1,2.1,unknown
HD 69076,42,42,--,--,2005Apr
HD 6963,--,--,4.2,4.2,unknown
HD 70573,--,--,2.73,2.73,unknown
HD 72687,54,54,--,--,2005Apr
HD 77407,--,--,3.45,3.45,unknown
HD 82943,--,--,27.9,27.9,unknown
HD 85301,--,--,2.7,2.7,unknown
HD 85301,17.4,17.4,--,--,2005Apr
HD 8907,--,--,3.2,0.9,unknown
HD 90905,--,--,3,3,unknown
RX J1842.9-3532,650,29,--,--,2005Apr
RX J1852.3-3700,1200,45,--,--,2005Apr
RX J1612.6-1859,--,--,5.9,1.4,unknown
RX J1612.6-1859,43,8.7,--,--,2005Apr
V* V963 Tau,--,--,2.7,2.7,unknown
