Target,V,e_V,R,e_R,I,e_I
RX J0902.9-7759,14.01,0.03,12.9,0.03,11.51,0.03
RX J0935.0-7804,13.79,0.03,12.66,0.03,11.21,0.03
RX J0942.7-7726,13.59,0.03,12.64,0.03,11.58,0.03
RX J1001.1-7913,13.23,0.03,12.28,0.03,11.22,0.03
RX J1150.4-7704,11.88,0.03,11.2,0.03,10.62,0.03
RX J1216.8-7753,14.03,0.03,12.94,0.03,11.61,0.03
RX J1219.7-7403,12.93,0.03,11.96,0.03,11.09,0.03
RX J1220.4-7407,12.47,0.03,11.53,0.03,10.64,0.03
RX J1239.4-7502,10.32,0.03,9.75,0.03,9.22,0.03
RX J1507.6-4603,11.69,0.03,11.11,0.03,10.55,0.03
RX J1508.6-4423,10.33,0.03,9.92,0.03,9.65,0.03
RX J1511.6-3550,12.42,0.03,11.74,0.03,11.08,0.03
RX J1515.8-3331,0,0.03,0,0.03,0,0.03
RX J1515.9-4418,12.47,0.03,11.81,0.03,11.17,0.03
RX J1516.6-4406,11.99,0.03,11.35,0.03,10.77,0.03
RX J1518.9-4050,10.9,0.03,10.39,0.03,9.88,0.03
RX J1522.2-3959,12.08,0.03,11.42,0.03,10.77,0.03
RX J1523.4-4055,11.95,0.03,11.34,0.03,10.76,0.03
RX J1523.5-3821,14.24,0.03,13.18,0.03,11.83,0.03
RX J1524.0-3209,12.36,0.03,11.52,0.03,10.6,0.03
RX J1524.5-3652,10.84,0.03,10.35,0.03,10.03,0.03
RX J1526.0-4501,10.95,0.03,10.48,0.03,10.05,0.03
RX J1538.0-3807,12.32,0.03,11.62,0.03,10.95,0.03
RX J1538.6-3916,11.6,0.03,11,0.03,10.41,0.03
RX J1538.7-4411,10.47,0.03,9.99,0.03,9.51,0.03
RX J1540.7-3756,12.19,0.03,11.45,0.03,10.94,0.03
RX J1546.7-3618,11.39,0.03,10.85,0.03,10.28,0.03
RX J1547.7-4018,11.06,0.03,10.51,0.03,10,0.03
Sz 76,15.15,0.03,13.98,0.03,12.45,0.03
RX J1550.0-3629,0,0.03,0,0.03,0,0.03
Sz 77,12.11,0.03,11.29,0.03,10.5,0.03
RX J1552.3-3819,13.08,0.03,12.23,0.03,11.41,0.03
RX J1554.9-3827,13.43,0.03,12.53,0.03,11.57,0.03
RX J1555.6-3709,12.39,0.03,11.65,0.03,10.94,0.03
Sz 81,14.87,0.03,13.53,0.03,11.78,0.03
RX J1556.1-3655,13.37,0.03,12.57,0.03,11.65,0.03
Sz 82,11.85,0.03,11.01,0.03,10.13,0.03
Sz 84,16.13,0.03,14.7,0.03,12.88,0.03
RX J1559.0-3646,13.5,0.03,12.51,0.03,11.31,0.03
Sz 129,12.93,0.03,12.07,0.03,11.13,0.03
RX J1601.2-3320,11.06,0.03,10.5,0.03,9.91,0.03
RX J1602.0-3613,11.87,0.03,11.22,0.03,10.53,0.03
RX J1603.2-3239,12.71,0.03,11.9,0.03,11.05,0.03
RX J1607.2-3839,12.72,0.03,11.85,0.03,10.93,0.03
RX J1610.1-4016,11.18,0.03,10.61,0.03,10.06,0.03
[PZ99] J154920-260005,0,0.03,10.35,0.03,9.71,0.03
[PZ99] J155506.2-252109,12.3,0.03,11.42,0.03,10.52,0.03
[PZ99] J155702.3-195042,0,0.03,11.01,0.03,10.24,0.03
[PZ99] J160151.4-244524,0,0.03,11.38,0.03,10.54,0.03
[PZ99] J160158.2-200811,10.45,0.03,9.87,0.03,9.27,0.03
[PZ99] J160253.9-202248,0,0.03,11.54,0.03,10.58,0.03
[PZ99] J160550.5-253313,0,0.03,10.46,0.03,9.99,0.03
[PZ99] J160843.4-260216,0,0.03,10.01,0.03,9.3,0.03
[PZ99] J161019.1-250230,11.89,0.03,11.06,0.03,10.27,0.03
Wa Oph 1,11.98,0.03,11.11,0.03,10.17,0.03
Wa Oph 2,11.69,0.03,10.96,0.03,10.35,0.03
RX J1612.1-1915,13.57,0.03,12.55,0.03,11.47,0.03
RX J1613.0-4004,0,0.03,0,0.03,0,0.03
RX J1615.3-3255,12.04,0.03,11.28,0.03,10.54,0.03
Wa Oph 6,13.22,0.03,12.02,0.03,10.79,0.03
RX J1519.3-4056,11.44,0.03,10.84,0.03,10.27,0.03
RX J1525.5-3613,11.64,0.03,11.04,0.03,10.44,0.03
RX J1543.1-3920,12.2,0.03,11.48,0.03,10.79,0.03
RX J1555.4-3338,12.48,0.03,11.77,0.03,11.06,0.03
RX J1603.8-3938,11.23,0.03,10.58,0.03,9.9,0.03
RX J1604.5-3207,10.81,0.03,10.29,0.03,9.79,0.03
RX J1605.6-3837,14.24,0.03,13.22,0.03,12.05,0.03
RX J1612.0-1906,11.6,0.03,10.87,0.03,10.1,0.03
NTTS 162649-2145,11.06,0.03,10.32,0.03,9.81,0.03
