Target,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,f_Mag,Mmag,eMmag,N2mag,eN2mag,N1mag,eN1mag,N3mag,eN3mag
CoD-44 3318,8.08,--,6.96,--,5.87,--,4.27,--,--,3.85,--,--,--,--,--,--,--
HD 76534,7.64,--,7.58,--,7.42,--,7.36,--,>,7.4,7.4,--,--,--,--,--,--
RCW 34,9.24,--,8.84,--,8.54,--,--,--,--,--,--,--,--,--,--,--,--
RCW 36,8.34,--,7.19,--,6.57,--,6.19,--,--,6.88,--,--,--,--,--,--,--
CD-42 4834,9.59,--,9.22,--,9.07,--,--,--,--,--,--,--,--,--,--,--,--
HD 97048,7.40,--,6.89,--,6.22,--,4.80,--,--,4.68,--,2.53,--,3.04,--,1.11,--
HR 5999,5.73,--,5.07,--,4.25,--,2.91,--,--,2.55,--,0.97,--,1.19,--,0.73,--
HD 150193,7.02,--,6.28,--,5.47,--,4.23,--,--,3.93,--,0.97,--,1.80,--,0.96,--
CoD-42 11721,7.36,--,5.98,--,4.51,--,2.38,--,--,1.75,--,0.23,--,0.20,--,-0.35,--
V* KK Oph,8.52,--,6.99,--,5.64,--,3.97,--,--,2.59,--,1.37,--,1.95,--,1.22,--
HD 163296,6.28,--,5.58,--,4.72,--,3.50,--,--,3.18,--,0.69,--,1.43,--,0.64,--
EM* LkHa 118,8.88,--,8.40,--,7.99,--,7.54,--,>,6.5,6.5,--,--,--,--,--,--
EM* LkHa 119,9.83,--,9.40,--,9.04,--,8.30,--,>,6.5,6.5,--,--,--,--,--,--
EM* MWC 297,6.35,--,4.63,--,3.19,--,1.23,--,--,0.58,--,-1.17,--,-1.06,--,-1.81,--
V* VV Ser,8.77,--,7.47,--,6.32,--,4.81,--,--,4.34,--,2.38,--,3.10,--,1.73,--
EM* MWC 300,9.29,--,8.20,--,6.19,--,2.79,--,--,1.77,--,-0.57,--,-0.40,--,-1.31,--
EM* AS 310,10.34,--,10.03,--,9.48,--,7.39,--,>,6.6,6.6,2.45,--,2.63,--,1.86,--
V* TY CrA,7.56,--,7.02,--,6.70,--,6.23,--,--,6.56,--,2.72,--,1.94,--,1.31,--
V* R CrA,7.53,--,5.41,--,3.63,--,1.48,--,--,0.93,--,-0.97,--,-0.56,--,-1.49,--
V* T CrA,9.25,--,7.75,--,6.44,--,4.76,--,--,4.31,--,2.35,--,2.62,--,1.60,--
HD 216629,7.25,--,6.84,--,6.36,--,6.69,--,--,--,--,--,--,--,--,--,--
EM* AS 505,8.44,--,7.97,--,7.55,--,6.99,--,--,--,--,--,--,--,--,--,--
