Target,F70,eF70,F160,eF160,F250,eF250,F350,eF350,F500,eF500,ObsDate
V* V1096 Tau,--,--,--,--,270,270,510,510,750,750,2010Aug24
Hubble I 4,--,--,--,--,750,750,1050,1050,1200,1200,2010Aug24
V* V819 Tau,--,--,--,--,112,112,180,180,225,225,2010Aug08
HD 283572,--,--,--,--,37.5,37.5,52.5,52.5,67.5,67.5,2010Aug24
L 1551-51,--,--,--,--,30,30,37.5,37.5,52.5,52.5,2010Aug24
V* V827 Tau,--,--,--,--,37.5,37.5,60,60,75,75,2010Aug24
RX J0432.8+1735,--,--,--,--,22.5,22.5,22.5,22.5,30,30,2010Aug24
V* V830 Tau,--,--,--,--,75,75,105,105,120,120,2010Aug24
RECX 3,--,--,--,--,18,18,22.5,22.5,30,30,2010Aug04
RECX 4,--,--,--,--,22.5,22.5,30,30,30,30,2010Aug24
RECX 6,--,--,--,--,27,27,27,27,30,30,2010Aug04
RECX 10,--,--,--,--,22.5,22.5,22.5,22.5,27,27,2010Aug24
TWA 6,--,--,--,--,16.5,16.5,18,18,22.5,22.5,2010Jul09
TWA 7,--,--,--,--,27.5,5,24,5,30,30,2010Jul09
V* T Cha,--,--,--,--,1780,200,1060,120,660,70,2010Aug24
TWA 10,--,--,--,--,27,27,27,27,22.5,22.5,2010Aug05
TWA 17,--,--,--,--,27,27,30,30,37.5,37.5,2010Aug23
Sz 67,--,--,--,--,27,27,30,30,30,30,2010Aug23
Sz 68,--,--,--,--,6000,6000,3000,3000,3000,3000,2010Aug23
RX J1603.2-3239,--,--,--,--,22.5,22.5,30,30,30,30,2010Aug23
Sz 96,--,--,--,--,180,180,300,300,450,450,2010Aug23
RX J1622.6-2345,--,--,--,--,75,75,75,75,90,90,2010Aug23
[MMG98] RX J1625.2-2455b,--,--,--,--,90,90,120,120,135,135,2010Aug23
ROXs 3,--,--,--,--,150,150,150,150,150,150,2010Aug23
ROXR1 13,--,--,--,--,1500,1500,900,900,1000,1000,2010Aug15
RX J1627.2-2410,--,--,--,--,150,150,225,225,225,225,2010Aug16
ROXs 31,--,--,--,--,450,450,525,525,1200,1200,2010Aug23
RX J1628.2-2405,--,--,--,--,300,300,450,450,450,450,2010Aug23
ROXs 39,--,--,--,--,75,75,90,90,120,120,2010Aug15
ROXs 42C,--,--,--,--,150,150,195,195,210,210,2010Aug23
ROXs 47A,--,--,--,--,240,240,300,300,360,360,2010Aug23
V* V1096 Tau,5.73,5.73,53.3,53.3,--,--,--,--,--,--,2010Sep19
Hubble I 4,6.93,6.93,87.2,87.2,--,--,--,--,--,--,2010Sep19
V* V819 Tau,15.4,1.03,21.9,21.9,--,--,--,--,--,--,2011Mar14
HD 283572,4.67,4.67,12.9,12.9,--,--,--,--,--,--,2010Sep19
L 1551-51,2.29,2.29,3.66,3.66,--,--,--,--,--,--,2011Sep19
V* V827 Tau,3.98,3.98,4.55,4.55,--,--,--,--,--,--,2011Sep19
RX J0432.8+1735,12,2.47,14.2,14.2,--,--,--,--,--,--,2011Mar13
V* V830 Tau,1.79,1.79,10.8,10.8,--,--,--,--,--,--,2010Aug09
RECX 3,6.04,1.29,13.2,13.2,--,--,--,--,--,--,2010Aug22
RECX 4,9.25,1.32,6.41,6.41,--,--,--,--,--,--,2010Aug12
RECX 6,4.8,4.8,16.5,16.5,--,--,--,--,--,--,2010Nov05
RECX 10,2.98,2.98,7.51,7.51,--,--,--,--,--,--,2010Nov05
TWA 6,6.03,6.03,7.67,7.67,--,--,--,--,--,--,2010Nov18
TWA 7,68.8,3.13,49.8,7.05,--,--,--,--,--,--,2011Jan14
V* T Cha,5060,23.7,3970,19,--,--,--,--,--,--,2010Nov05
TWA 10,3.81,3.81,13.7,13.7,--,--,--,--,--,--,2010Aug10
TWA 17,2.43,2.43,9.41,9.41,--,--,--,--,--,--,2010Aug16
Sz 67,4.1,4.1,15.1,15.1,--,--,--,--,--,--,2010Sep09
Sz 68,2650,50.8,2300,2300,--,--,--,--,--,--,2010Aug10
RX J1603.2-3239,12.8,1.08,14.4,14.4,--,--,--,--,--,--,2010Sep09
Sz 96,167,2.02,92.2,16.4,--,--,--,--,--,--,2011Mar14
RX J1622.6-2345,5.81,5.81,24.7,24.7,--,--,--,--,--,--,2010Sep09
[MMG98] RX J1625.2-2455b,20.4,1.21,88.4,10.7,--,--,--,--,--,--,2010Sep09
ROXs 3,3.63,3.63,39.8,39.8,--,--,--,--,--,--,2011Mar08
ROXR1 13,2150,258,2310,291,--,--,--,--,--,--,2011Mar15
RX J1627.2-2410,7.79,7.79,102,102,--,--,--,--,--,--,2010Sep09
ROXs 31,15.7,1.71,115,115,--,--,--,--,--,--,2010Sep09
RX J1628.2-2405,103,1.7,159,27.5,--,--,--,--,--,--,2010Sep10
ROXs 39,5.96,5.96,20.5,20.5,--,--,--,--,--,--,2011Mar08
ROXs 42C,240,3,70.9,9.7,--,--,--,--,--,--,2011Mar15
ROXs 47A,46.3,2.75,148,14.7,--,--,--,--,--,--,2011Mar15
