Target,F100,eF100,F160,eF160,ObsDate
V* S CrA,17.7,2.6,13.6,2.7,2011Apr18
[LEM2005b] CrA 432,0.019,0.019,--,--,2011Apr18
[LEM2005b] CrA 4110,0.025,0.025,--,--,2011Apr18
[LEM2005b] CrA 466,0.32,0.05,--,--,2011Apr18
[SHJ2008] G-87,0.082,0.082,--,--,2011Apr18
[SHJ2008] G-85,0.42,0.06,0.69,0.69,2011Apr18
[SHJ2008] G-122,0.61,0.09,2.2,0.4,2011Apr18
[TS84] IRS 2,82,12,61,12,2011Apr18
HBC 677,0.089,0.014,--,--,2011Apr18
[TS84] IRS 5 AB,19.4,2.8,--,--,2011Apr18
[TS84] IRS 5 AB+[FPM2006]5,--,--,23,5,2011Apr18
[FPM2006] 5,15,3,--,--,2011Apr18
[FPM2006] 5 +[TS84]IRS5AB,--,--,23,5,2011Apr18
[TS84] IRS 6,9.2,1.3,11,2,2011Apr18
V* V710 CrA,97,14,70,14,2011Apr18
[LEM2005b] CrA 465,0.027,0.027,--,--,2011Apr18
[SHK2011b] 1,13,2,30,7,2011Apr18
[TS84] IRS 7 EW,476,69,880,170,2011Apr18
[NWA2005] SMM 1A,148,22,--,--,2011Apr18
[NWA2005] SMM 2,12,2,25,5,2011Apr18
V* T CrA,12,2,13,3,2011Apr18
[WMB97] 185839.6-365823,0.12,0.03,--,--,2011Apr18
[SHJ2008] G-14,0.02,0.02,--,--,2011Apr18
[LEM2005b] CrA 4109,0.018,0.018,--,--,2011Apr18
[SHJ2008] G-1,0.017,0.017,--,--,2011Apr18
ISO-CrA 159,0.111,0.016,0.24,0.24,2011Apr18
[LEM2005b] CrA 4107,0.018,0.018,--,--,2011Apr18
IRAS 18595-3712,52,5,42,3,2011Apr18
V* VV CrA,80,12,66,13,2011Apr18
[PCB2011] CrA-45,0.92,0.13,0.81,0.16,2011Apr18
