Target,F2970,eF2970,F3230,eF3230,F3450,eF3450,F3490,eF3490,F3530,eF3530,F3570,eF3570
V* CW Tau,--,--,--,--,--,--,--,--,--,--,3.44,0.31
V* CX Tau,--,--,--,--,--,--,1.01,0.13,--,--,--,--
V* DE Tau,--,--,3.32,0.25,--,--,--,--,--,--,--,--
V* DK Tau,--,--,--,--,--,--,--,--,--,--,4.70,0.20
V* DO Tau,--,--,--,--,--,--,--,--,--,--,13.80,0.29
V* DP Tau,--,--,--,--,--,--,--,--,--,--,0.78,0.78
V* DR Tau,13.90,0.47,--,--,--,--,--,--,--,--,--,--
V* DS Tau,2.96,0.21,--,--,--,--,--,--,--,--,--,--
V* FM Tau,2.65,0.24,--,--,--,--,--,--,--,--,--,--
V* FP Tau,11.80,0.26,--,--,--,--,--,--,--,--,--,--
V* FY Tau,1.90,0.28,--,--,--,--,--,--,--,--,--,--
V* FZ Tau,2.89,0.24,--,--,--,--,--,--,--,--,--,--
V* GK Tau,0.96,0.96,--,--,--,--,--,--,--,--,--,--
V* GO Tau,--,--,--,--,--,--,4.05,0.34,--,--,--,--
Haro 6-28,--,--,--,--,0.92,0.18,--,--,--,--
V* HL Tau,--,--,--,--,--,--,--,--,43.40,0.68,--,--
V* HO Tau,--,--,--,--,2.03,0.53,--,--,--,--,--,--
EM* LkHa 358,--,--,--,--,--,--,--,--,2.46,0.22,--,--
V* SU Aur,--,--,--,--,--,--,--,--,2.88,0.19,--,--
