Target,F1300,e_F1300,ObsDate
V* V376 Cas,0.22,--,1995Feb
V* V892 Tau,0.26,--,1995Feb
V* AB Aur,0.13,--,1995Feb
EM* MWC 137,0.56,--,1995Feb
V* VY Mon,0.90,--,1995Feb
HD 97048,0.70,--,1997Mar
HD 100546,0.69,--,1997Mar
IRAS 12496-7650,0.50,--,1997Mar
CD-42 11721,5.61,--,1997Mar
HD 163296,0.90,--,1995Feb
EM* MWC 297,1.22,--,1995Feb
EM* LkHA 225,0.69,--,1995Feb
EM* LkHA 234,2.69,--,1995Feb
EM* MWC 1080,1.20,--,1995Feb
RNO 1B,5.08,--,1995Feb
V* Z CMa,1.70,--,1997Mar
Parsamian 21,0.030,--,1997Mar
V* V1331 Cyg,0.16,--,1995Feb
