Target,F4.8,F7.7,F10,F12,F12.8,F15,F20,F60,F100,B,V,Rc,Ic,e_F4.8,e_F7.7,e_F10,e_F12,e_F12.8,e_F15,e_F20,e_F60,e_F100,e_B,e_V,e_Rc,e_Ic
V* T Cha,0.390,0.437,0.198,0.223,0.296,0.132,0.177,7.903,8.517,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sz 68,0.219,0.456,0.152,0.508,0.809,2.676,2.737,14.483,26.801,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
V* RU Lup,0.178,0.140,0.526,1.053,0.510,2.228,2.803,10.017,7.645,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
V* EX Lup,0.105,0.104,0.188,0.089,--,0.396,0.272,3.197,2.490,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sz 124,--,--,--,--,0.176,--,--,1.224,5.040,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ROX 2,--,--,--,0.032,0.218,--,--,16.303,37.887,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
DoAr 24,0.198,0.063,0.159,0.232,0.284,0.157,0.367,16.237,72.034,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GSS 31,0.980,0.604,1.057,1.874,2.568,2.408,2.300,40.975,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EM* SR 12,--,--,--,0.030,0.029,--,--,11.710,49.230,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ROX 31,0.168,0.065,--,--,0.268,--,--,1.880,10.230,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wa Oph 4,0.190,--,--,0.035,0.321,--,0.370,0.586,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wa Oph 6,0.821,0.757,0.861,1.390,1.906,0.613,1.251,3.896,5.484,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
V* IX Oph,0.227,--,--,0.025,0.236,0.024,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
V* V1725 Oph,0.045,--,0.053,0.085,0.137,0.062,0.062,2.424,7.814,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CoKu Ser G1,0.111,--,0.480,0.407,0.586,0.418,0.512,4.551,4.883,--,17.4,16.1,14.2,--,--,--,--,--,--,--,--,--,--,--,--,--
CoKu Ser G7,0.187,0.214,0.621,1.391,0.895,3.300,2.841,54.967,--,--,--,16.4,14.5,--,--,--,--,--,--,--,--,--,--,--,--,--
V* V536 Aql,0.218,0.495,0.628,1.604,3.332,2.415,3.650,8.854,7.353,15.7,13.9,12.9,11.4,--,--,--,--,--,--,--,--,--,--,--,--,--
V* NO Cep,--,0.066,0.359,0.089,0.333,0.090,--,0.909,--,--,--,--,13.2,--,--,--,--,--,--,--,--,--,--,--,--,--
