Target,F450,e_F450,F850,e_F850,ObsDate
HD 17206,0.1789,0.1789,0.0078,0.0078,averaged
HD 23362,0.17,0.17,0.012,0.012,2000Jun07
HD 34282,1.925,0.29,0.384,0.023,averaged
HD 34700,0.218,0.037,0.0407,0.0024,averaged
HD 35187,0.268,0.047,0.061,0.005,averaged
HD 38393,0.0428,0.0428,0.0024,0.001,2001Mar
HD 48682,0.0368,0.0368,0.0055,0.0011,2001Mar
HD 69830,2.0248,2.0248,0.1005,0.1005,2001Mar09
HD 81515,0.26,0.26,0.02,0.02,2000Mar21
HD 109085,0.0381,0.0381,0.0075,0.0012,averaged
HD 121617,0.36,0.36,0.012,0.012,averaged
HD 139664,0.39,0.39,0.015,0.015,averaged
HD 141569,0.066,0.023,0.014,0.002,averaged
HD 207129,1.7,1.7,0.018,0.018,1998May
* sig Boo,--,--,0.0062,0.0017,unknown
* eps Eri,0.225,0.010,0.040,0.0015,unknown
* bet Pic,--,--,0.104,0.010,unknown
HR 4796,0.180,0.15,0.0191,0.0034,unknown
NAME Vega,--,--,0.0457,0.0054,unknown
NAME Fomalhaut,0.595,0.035,0.097,0.005,unknown
