Target,Bmag,eBmag,Vmag,eVmag,Rmag,eRmag,Imag,eImag,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,ObsDate
Sz 65,13.79,--,12.34,--,11.46,--,10.51,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 66,16.45,--,15,--,14.1,--,12.52,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 67,--,--,--,--,12.85,--,11.49,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 68,11.63,--,10.36,--,9.6,--,8.86,--,--,--,--,--,--,--,--,--,--,--,1992Mar
[KPB2018] HT Lup C,--,--,--,--,13.61,--,12.58,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 69,17.41,--,16.25,--,14.93,--,13.27,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 70,17.9,--,16.31,--,14.61,--,12.98,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 71,15.28,--,13.97,--,12.88,--,11.73,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 72,15.89,--,14.81,--,13.55,--,12.25,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 73,18.21,--,16.37,--,14.9,--,13.44,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 74,15.96,--,14.35,--,12.98,--,11.44,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 75,--,--,--,--,10.73,--,9.97,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 76,--,--,--,--,13.79,--,12.53,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 76,--,--,--,--,14.01,--,12.46,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 77,--,--,--,--,11.66,--,10.83,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 78,--,--,--,--,11.24,--,10.32,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 79,--,--,--,--,11.49,--,10.72,--,--,--,--,--,--,--,--,--,--,--,1992Mar
NAME Sz 81A,--,--,--,--,14.02,--,12.38,--,--,--,--,--,--,--,--,--,--,--,1992Mar
NAME Sz 81B,--,--,--,--,14.96,--,13.11,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 82,--,--,--,--,11.08,--,10.2,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 83,--,--,--,--,10.63,--,9.84,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 84,17.54,--,16.16,--,14.53,--,12.94,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 85,10.82,--,9.14,--,8.21,--,7.36,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 86,--,--,--,--,14.2,--,13.35,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 87,--,--,--,--,13.85,--,13.27,--,--,--,--,--,--,--,--,--,--,--,1992Mar
V* HO Lup A,--,--,--,--,12.3,--,11.42,--,--,--,--,--,--,--,--,--,--,--,1992Mar
V* HO Lup B,--,--,--,--,16.08,--,14.26,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 89,--,--,--,--,12.42,--,10.44,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 90,--,--,--,--,14.52,--,13.28,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 90,--,--,--,--,13.45,--,12.18,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 91,--,--,--,--,14.28,--,12.92,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 92,--,--,--,--,13.14,--,12.48,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 92,--,--,--,--,13.12,--,12.42,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 93,--,--,--,--,12.83,--,12.14,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 94,--,--,--,--,14.42,--,12.9,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 95,--,--,--,--,13.89,--,12.53,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 96,15.29,--,13.91,--,13.02,--,11.84,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 97,17.14,--,15.74,--,14.44,--,12.87,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 98,15.14,--,13.96,--,11.71,--,10.92,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 99,18.34,--,17.52,--,15.71,--,14.22,--,--,--,--,--,--,--,--,--,--,--,1992Mar
Sz 100,18.09,--,16.87,--,15.07,--,13.24,--,--,--,--,--,--,--,--,--,--,--,1992Mar
