Target,V,e_V,R,e_R,I,e_I,ObsDate
NTTS 032641+2420,12.2,0.03,11.64,0.03,11.13,0.03,unknown
RX J0405.3+2009,10.67,0.03,9.96,0.03,9.41,0.03,unknown
NTTS 040234+2143,14.77,0.03,13.72,0.03,12.31,0.03,unknown
RX J0409.2+1716,13.44,0.03,12.11,0.03,11.15,0.03,unknown
RX J0409.8+2446,13.51,0.03,12.55,0.03,11.35,0.03,unknown
RX J0412.8+1937,12.47,0.03,11.68,0.03,10.85,0.03,unknown
NTTS 041559+1716,12.23,0.03,11.56,0.03,10.88,0.03,unknown
RX J0420.3+3123,12.6,0.03,11.96,0.03,11.3,0.03,unknown
RX J0424.8+2643,11.35,0.03,10.56,0.03,9.73,0.03,unknown
RX J0432.8+1735,13.66,0.03,12.6,0.03,11.32,0.03,unknown
RX J0437.4+1851,0,0.03,0,0.03,0,0.03,unknown
RX J0438.2+2023,12.18,0.03,11.52,0.03,10.9,0.03,unknown
RX J0438.6+1546,10.89,0.03,10.31,0.03,9.73,0.03,unknown
RX J0439.4+3332,11.54,0.03,10.79,0.03,10.13,0.03,unknown
RX J0452.5+1730,11.97,0.03,11.08,0.03,10.58,0.03,unknown
RX J0452.8+1621,11.74,0.03,10.81,0.03,10.05,0.03,unknown
RX J0457.2+1524,10.21,0.03,9.67,0.03,9.13,0.03,unknown
RX J0457.5+2014,11.34,0.03,10.73,0.03,10.15,0.03,unknown
RX J0458.7+2046,11.95,0.03,11.05,0.03,10.43,0.03,unknown
RX J0459.7+1430,11.71,0.03,11.1,0.03,10.53,0.03,unknown
V* V836 Tau,13.99,0.03,12.93,0.03,11.74,0.03,unknown
