Target,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,ObsDate
FMC 4,8.61,0.05,7.08,0.05,5.86,0.05,2005Dec17
HD 281934,9.10,0.10,8.37,0.10,7.90,0.10,2004Dec01
HD 281934,9.05,0.05,8.32,0.05,7.85,0.05,2005Dec17
ALS 7930,7.20,0.10,5.68,0.10,4.44,0.10,2004Dec01
ALS 7930,7.01,0.05,5.63,0.05,4.35,0.05,2005Dec17
HBC 37,8.92,0.05,7.95,0.05,7.15,0.05,2005Dec17
HBC 405,9.36,0.05,8.73,0.05,8.52,0.05,2005Dec17
HBC 419,9.33,0.05,8.72,0.05,8.23,0.05,2005Dec17
HBC 77,9.40,0.05,8.80,0.05,8.52,0.05,2005Dec17
HD 31293,5.99,0.05,5.28,0.05,4.37,0.05,2005Dec17
HD 31648,6.90,0.05,6.38,0.05,5.57,0.05,2005Dec17
HD 240764,8.22,0.05,7.67,0.05,7.16,0.05,2004Dec01
HD 240764,8.34,0.10,7.66,0.10,7.18,0.10,2005Dec17
HD 244138,7.42,0.05,6.67,0.05,5.83,0.05,2005Dec17
HD 36112,7.20,0.10,6.55,0.10,5.80,0.10,2004Dec01
HD 36112,7.26,0.05,6.70,0.05,5.92,0.05,2005Dec17
HD 37806,7.24,0.05,6.66,0.05,5.77,0.05,2005Dec17
HBC 186,6.55,0.05,5.89,0.05,5.32,0.05,2005Dec17
HD 45677,6.85,0.05,6.22,0.05,4.61,0.05,2005Dec17
HD 259431,7.34,0.05,6.70,0.05,5.73,0.05,2005Dec17
HD 53179,6.66,0.05,5.45,0.05,3.94,0.05,2005Dec17
HD 53367,6.32,0.05,6.32,0.05,6.27,0.05,2005Dec17
HR 4534,1.92,0.08,1.96,0.07,1.90,0.08,2006Jun02
GC 19311,4.26,0.08,4.25,0.07,4.20,0.08,2006Jun02
HD 141569,6.67,0.08,6.54,0.07,6.48,0.08,2006Jun02
HD 143006,8.18,0.08,7.57,0.07,5.94,0.08,2006Jun02
HD 144432,7.23,0.08,6.69,0.07,6.14,0.08,2006Jun02
HD 150193,6.84,0.08,6.02,0.07,5.13,0.08,2006Jun02
FMC 34,8.46,0.08,7.09,0.07,5.71,0.08,2006Jun02
HD 158643,4.76,0.08,4.63,0.07,4.34,0.08,2006Jun02
HD 162214,7.94,0.08,7.17,0.07,6.77,0.08,2006Jun04
HD 163296,6.20,0.08,5.48,0.07,4.59,0.08,2006Jun02
HD 169412,7.77,0.08,7.78,0.07,7.79,0.08,2006Jun02
FMC 38,6.06,0.08,4.54,0.07,3.12,0.08,2006Jun04
FMC 39,8.60,0.08,7.37,0.07,6.20,0.08,2006Jun02
HD 179218,6.91,0.08,6.58,0.07,5.88,0.08,2006Jun03
HD 190073,7.15,0.08,6.61,0.07,5.75,0.08,2006Jun02
ALS 11188,7.97,0.05,7.01,0.05,5.86,0.05,2005Dec17
ALS 11188,7.93,0.10,6.96,0.04,5.81,0.07,2006Jun03
ALS 11256,7.01,0.05,5.98,0.05,4.78,0.05,2005Dec17
ALS 11256,6.94,0.08,5.92,0.08,4.65,0.08,2006Jun03
HD 200775,6.12,0.05,5.58,0.05,4.77,0.05,2005Dec17
FMC 57,7.38,0.05,6.04,0.05,4.68,0.05,2005Dec17
