Target,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Date
HD 7151,9.129,0.02,8.926,0.02,8.783,0.02,--,--,1995Sep05
HD 7151,8.751,0.02,8.413,0.02,8.366,0.02,8.320,0.02,1995Sep11
HD 16157,5.852,0.02,5.099,0.02,4.901,0.02,4.8650.02,,1995Sep09
HD 17848,5.079,0.02,5.045,0.02,5.025,0.02,4.9820.02,,1995Sep05
HD 17848,5.091,0.02,5.036,0.02,5.023,0.02,5.0100.02,,1995Sep11
HD 21563,5.096,0.02,4.697,0.02,4.594,0.02,4.5980.02,,1995Sep09
HD 21563,5.051,0.02,4.636,0.02,4.574,0.02,4.5300.02,,1995Sep11
HD 28001,9.362,0.02,9.194,0.02,9.230,0.02,--,--,1995Sep10
HD 38905,8.875,0.02,8.580,0.02,8.538,0.02,--,--,1995Sep11
HD 131885,6.184,0.02,6.737,0.02,6.722,0.02,6.936,0.02,1995Sep11
HD 137751,8.361,0.02,8.090,0.02,8.046,0.02,--,--,1995Sep10
HD 139450,7.755,0.02,7.438,0.02,7.399,0.02,7.313,0.02,1995Sep10
HD 145263,8.153,0.02,7.932,0.02,7.884,0.02,7.397,0.02,1995Sep09
HD 153968,8.350,0.02,8.301,0.02,8.249,0.02,8.554,0.02,1995Sep11
HD 176638,4.768,0.02,4.769,0.02,4.780,0.02,4.738,0.02,1995Sep05
HD 178253,4.007,0.02,3.981,0.02,3.973,0.02,3.944,0.02,1995Sep05
HD 181296,5.019,0.02,5.022,0.02,5.025,0.02,5.001,0.02,1995Sep05
HD 181296,5.020,0.02,5.022,0.02,5.025,0.02,5.026,0.02,1995Sep11
HD 181327,6.197,0.02,5.978,0.02,5.932,0.02,5.852,0.02,1995Sep09
HD 181327,6.215,0.02,5.979,0.02,5.940,0.02,5.951,0.02,1995Sep11
HD 184800,9.220,0.02,9.090,0.02,9.099,0.02,--,--,1995Sep09
HD 184800,9.250,0.02,9.124,0.02,9.036,0.02,--,--,1995Sep11
HD 191089,6.355,0.02,6.118,0.02,6.093,0.02,6.095,0.02,1995Sep05
HD 191089,6.346,0.02,6.122,0.02,6.092,0.02,6.013,0.02,1995Sep10
HD 195627,4.223,0.02,4.085,0.02,4.039,0.02,4.012,0.02,1995Sep09
HD 203608,3.263,0.02,2.952,0.02,2.900,0.02,2.886,0.02,1995Sep09
HD 214953,4.921,0.02,4.592,0.02,4.537,0.02,4.465,0.02,1995Sep05
HD 214953,4.927,0.02,4.593,0.02,4.515,0.02,4.552,0.02,1995Sep09
HD 214953,4.929,0.02,4.569,0.02,4.531,0.02,4.490,0.02,1995Sep11
