Target,F28000,eF28000,F60000,eF60000,F210000,eF210000,ObsDate
V* T Tau,8,2,--,--,--,--,1973Jun17
EM* LkHA 101,160,10,--,--,--,--,1973Jul15
EM* LkHA 101,--,--,180,10,--,--,1974May16
EM* MWC 137,55,5,80,10,--,--,1973Apr14
PN M 1-11,--,--,--,--,19,2,1973Dec06
PN M 2-9,34,4,--,--,--,--,1973Apr14
PN M 2-9,--,--,--,--,32,2,1974Jan26
V* V1016 Cyg,74,10,46,2,--,--,1973Apr14
V* V1016 Cyg,--,--,--,--,17,2,1973Dec24
EM* MWC 349,270,25,--,--,--,--,1973May06
EM* MWC 349,--,--,175,5,--,--,1973Apr14
EM* MWC 349,--,--,--,--,68,3,1973Dec27
EM* MWC 349,--,--,155,7,--,--,1972Nov10
