Target,F1300,e_F1300,ObsDate
V* SY Cha,172,172,1991Nov19
V* SZ Cha,77.5,20.3,1991Nov19
LHA 332-20,124.9,24.2,1991Nov19
V* CS Cha,128.4,45.6,1991Nov19
HH 50E,180,180,1991Nov18
NAME CED 110 IRS 1,92,92,1991Nov19
Ass Cha T 2-21,143,143,1991Nov18
IRAS 11051-7706,101,32,1992May26
IRAS 11057-7706,72,72,1991Nov19
Ass Cha T 2-25,105,105,1992May25
V* DI Cha,38,11.4,1991Nov17
HD 97048,451.5,33.7,1991Nov17
V* HP Cha B,69.9,22.4,1991Nov18
NAME Cha IR Nebula,262.8,38.2,1991Nov17
Ass Cha T 1-20,100,100,1992May25
V* HV Cha,93,93,1991Nov18
HJM C 1-3,60,60,1991Nov18
HD 97300,91,91,1991Nov17
Ass Cha T 1-23,93.1,20.8,1991Nov18
V* WW Cha,407.9,28.5,1991Nov18
V* WY Cha,249,249,1991Nov19
V* XX Cha,252,252,1991Nov18
V* CV Cha,80,80,1991Nov19
Ass Cha T 2-54,118,118,1991Nov19
Ass Cha T 1-32,47.8,15.5,1991Nov19
V* T Cha,105.2,17.7,1991Nov19
V* DX Cha,66,13.3,1991Nov17
[PWA92] 5,154,154,1991Nov19
V* DK Cha,680,22,1991Nov17
2MASS J12534285-7715114,59.7,15,1992May29
HD 111830,223,223,1991Nov19
SSTc2d J125552.5-765616,105,105,1992May26
2MASS J12590656-7707401,50,50,1992May29
V* BK Cha,36,36,1992May29
PSCz Q13036-7644,222.5,49,1991Nov18
V* BM Cha,70,70,1992May29
