Target,F1300,e_F1300,ObsDate
Sz 65,56,--,unknown
Sz 66,47,--,unknown
Sz 67,66,66,unknown
Sz 68,135,--,unknown
Sz 69,30,30,unknown
Sz 70,45,45,unknown
Sz 71,106,--,unknown
Sz 72,45,45,unknown
Sz 73,26,--,unknown
Sz 74,51,51,unknown
Sz 75,38,--,unknown
Sz 76,45,45,unknown
Sz 77,45,45,unknown
Sz 81,35,--,unknown
Sz 82,260,--,unknown
Sz 83,197,--,unknown
Sz 84,36,36,unknown
Sz 88,24,24,unknown
Sz 90,26,--,unknown
Sz 91,27,27,unknown
Sz 94,45,45,unknown
Sz 95,36,36,unknown
Sz 96,45,45,unknown
Sz 97,28,--,unknown
Sz 98,84,--,unknown
Sz 99,30,30,unknown
Sz 100,27,27,unknown
Sz 101,39,39,unknown
Sz 102,30,30,unknown
Sz 103,57,57,unknown
Sz 104,42,42,unknown
Sz 105,33,33,unknown
