Target,F1200,e_F1200,ObsDate
[SSG2006] MMS001,7775,--,unknown
[SSG2006] MMS002,1205,--,unknown
[SSG2006] MMS003,242,--,unknown
[SSG2006] MMS004,10255,--,unknown
[SSG2006] MMS005,1060,--,unknown
[SSG2006] MMS006,291,--,unknown
[SSG2006] MMS007,3137,--,unknown
[SSG2006] MMS008,228,--,unknown
[SSG2006] MMS009,316,--,unknown
[SSG2006] MMS010,153,--,unknown
[SSG2006] MMS011,967,--,unknown
[SSG2006] MMS012,1109,--,unknown
[SSG2006] MMS013,84,--,unknown
[SSG2006] MMS014,964,--,unknown
[SSG2006] MMS015,1336,--,unknown
[SSG2006] MMS016,1058,--,unknown
[SSG2006] MMS017,1145,--,unknown
[SSG2006] MMS018,2900,--,unknown
[SSG2006] MMS019,60,--,unknown
[SSG2006] MMS020,1150,--,unknown
[SSG2006] MMS021,718,--,unknown
[SSG2006] MMS022,4181,--,unknown
[SSG2006] MMS023,186,--,unknown
[SSG2006] MMS024,274,--,unknown
[SSG2006] MMS025,415,--,unknown
[SSG2006] MMS026,601,--,unknown
[SSG2006] MMS027,1651,--,unknown
[SSG2006] MMS028,874,--,unknown
[SSG2006] MMS029,610,--,unknown
[SSG2006] MMS030,2614,--,unknown
[SSG2006] MMS031,1318,--,unknown
[SSG2006] MMS032,114,--,unknown
[SSG2006] MMS033,624,--,unknown
[SSG2006] MMS034,126,--,unknown
[SSG2006] MMS035,921,--,unknown
[SSG2006] MMS036,1741,--,unknown
[SSG2006] MMS037,1721,--,unknown
[SSG2006] MMS038,595,--,unknown
[SSG2006] MMS039,1115,--,unknown
[SSG2006] MMS040,1725,--,unknown
[SSG2006] MMS041,2827,--,unknown
[SSG2006] MMS042,433,--,unknown
[SSG2006] MMS043,69,--,unknown
[SSG2006] MMS044,2212,--,unknown
[SSG2006] MMS045,576,--,unknown
[SSG2006] MMS046,104,--,unknown
[SSG2006] MMS047,766,--,unknown
[SSG2006] MMS048,863,--,unknown
[SSG2006] MMS049,511,--,unknown
[SSG2006] MMS050,709,--,unknown
[SSG2006] MMS051,548,--,unknown
[SSG2006] MMS052,1584,--,unknown
[SSG2006] MMS053,210,--,unknown
[SSG2006] MMS054,1479,--,unknown
[SSG2006] MMS055,4527,--,unknown
[SSG2006] MMS056,648,--,unknown
[SSG2006] MMS057,394,--,unknown
[SSG2006] MMS058,39,--,unknown
[SSG2006] MMS059,603,--,unknown
