Target,F1100,eF1100,F800,eF800,F450,eF450,F350,eF350,ObsDate
NTTS 155203-2338,--,--,30,30,--,--,--,--,unknown
NTTS 155808-2219,--,--,26,26,--,--,--,--,unknown
NTTS 155913-2233,--,--,26,26,--,--,--,--,unknown
NTTS 160814-1857,--,--,36,36,--,--,--,--,unknown
NTTS 160905-1859,--,--,34,34,--,--,--,--,unknown
NTTS 160946-1851,--,--,38,38,--,--,--,--,unknown
NTTS 162218-2420,--,--,39,39,--,--,--,--,unknown
NTTS 162814-2427,--,--,16,16,--,--,--,--,unknown
ROXs 43,30,30,17,17,--,--,--,--,unknown
V* AK Sco,36,4,83,9,242,32,--,--,unknown
EM* AS 205,503,17,998,43,2541,190,3515,446,unknown
NAME DoAr 24E,--,--,37,8,--,--,--,--,unknown
Elia 2-26,--,--,58,58,--,--,--,--,unknown
Haro 1-4,--,--,53,9,361,361,--,--,unknown
ROX 31,76,76,22,22,--,--,--,--,unknown
EM* SR 9,--,--,28,28,--,--,--,--,unknown
EM* SR 12,62,62,26,26,--,--,--,--,unknown
EM* SR 20,--,--,28,28,--,--,--,--,unknown
V* V853 Oph,52,8,134,12,320,53,--,--,unknown
V* VV Sco,--,--,63,63,--,--,--,--,unknown
WSB 3,--,--,34,34,--,--,--,--,unknown
WSB 11,--,--,26,26,--,--,--,--,unknown
WSB 18,--,--,46,46,--,--,--,--,unknown
WSB 19,--,--,78,78,--,--,--,--,unknown
WSB 26,--,--,77,77,--,--,--,--,unknown
V* BZ Sgr,--,--,116,26,--,--,--,--,unknown
CD-29 8887,--,--,60,60,--,--,--,--,unknown
CD-33 7795,--,--,126,126,--,--,--,--,unknown
CoKu Ser G1,--,--,147,147,--,--,--,--,unknown
V* FK Ser,47,47,51,8,818,818,--,--,unknown
HD 150193,--,--,123,18,455,150,--,--,unknown
HD 98800,--,--,108,13,365,365,--,--,unknown
Hen 3-600,--,--,53,15,--,--,--,--,unknown
V* S CrA,361,26,765,51,2750,383,--,--,unknown
V* V4046 Sgr,451,20,770,39,2042,111,3154,419,unknown
