Target,F1100,e_F1100,F800,e_F800,F450,e_F450,F350,e_F350,ObsDate
IRAS 00338+6312,2.295,0.044,6.16,0.02,48.9,1.5,111.2,4.7,unknown
IRAS 00342+6347,0.75,0.1,2.0,0.2,21.8,4.0,--,--,unknown
IRAS 03035+5819,0.70,0.043,1.96,0.12,14.8,0.72,44.0,1.6,unknown
[SVS76] NGC 1333 12,0.37,0.06,1.46,0.047,11.05,0.31,--,--,unknown
IRAS 03282+3035,0.697,0.068,1.522,0.065,5.68,0.26,9.82,0.50,unknown
HH 211,0.927,0.069,2.00,0.048,10.24,0.31,18.0,0.56,unknown
IRAS 04073+3800,0.581,0.064,1.42,0.10,7.93,0.23,16.5,0.63,unknown
NAME HH 31 IRS 2,0.15,0.045,1.32,0.20,2.53,0.30,--,--,unknown
IRAS 04263+2426,0.138,0.013,0.353,0.02,1.73,0.10,3.42,0.25,unknown
V* HL Tau,1.49,0.04,3.16,0.06,14.58,1.0,24.96,1.37,unknown
Haro 6-13,0.248,0.031,0.435,0.03,1.40,0.18,2.36,0.39,unknown
IRAS 05155+0707,0.577,0.064,1.645,0.044,11.76,0.154,24.53,0.91,unknown
IRAS 05173-0555,0.261,0.041,0.640,0.034,3.65,0.26,5.27,0.47,unknown
IRAS 05295+1247,0.436,0.036,1.161,0.048,5.89,0.29,12.35,0.83,unknown
IRAS 05311-0631,0.208,0.017,0.508,0.073,3.20,0.10,5.94,0.36,unknown
HBC 470,0.599,0.034,1.279,0.017,6.14,0.15,11.90,0.3,unknown
IRAS 05338-0647,0.518,0.040,1.478,0.009,7.66,0.64,--,--,unknown
IRAS 05338-0624,2.23,0.010,5.29,0.31,22.7,1.6,--,--,unknown
NAME HH 1-2 VLA 1,0.915,0.027,2.645,0.027,18.9,0.35,33.95,0.29,unknown
IRAS 05339-0646,0.239,0.039,0.635,0.032,3.75,0.27,--,--,unknown
IRAS 05339-0626,0.553,0.010,1.550,0.095,9.09,0.02,--,--,unknown
HH 43 IRS,--,--,0.190,0.014,1.42,0.13,--,--,unknown
V* V883 Ori,0.767,0.060,1.901,0.087,11.66,1.57,13.7,3.5,unknown
IRAS 05363-0702,0.812,0.004,1.770,0.070,8.27,0.4,--,--,unknown
IRAS 05375-0731,1.252,0.022,3.324,0.015,20.11,0.56,--,--,unknown
IRAS 05380-0728,0.397,0.036,0.822,0.062,5.04,0.37,--,--,unknown
IRAS 05384-0808,0.262,0.051,0.630,0.080,4.26,0.21,--,--,unknown
IRAS 05403-0818,0.289,0.030,0.700,0.011,2.79,0.63,--,--,unknown
IRAS 05413-0104,0.231,0.018,0.607,0.043,3.17,0.31,--,--,unknown
IRAS 05435-0011,0.401,0.034,1.075,0.083,5.67,1.3,14.0,4.9,unknown
NAME HH 24 MMS,1.92,0.072,3.81,0.069,10.88,0.36,20.08,0.079,unknown
IRAS 05491+0247,0.75,0.01,1.80,0.022,8.22,0.26,14.2,0.9,unknown
IRAS 06103-0612,0.32,0.026,0.928,0.042,7.38,0.68,--,--,unknown
V* Z CMa,0.708,0.031,1.964,0.013,13.84,0.20,28.8,0.7,unknown
IRAS 08076-3556,0.670,0.013,1.726,0.045,8.36,0.49,13.2,1.1,unknown
IRAS 08194-4925,0.348,0.021,0.938,0.032,7.73,0.40,13.9,0.9,unknown
IRAS 08242-5050,0.397,0.027,1.040,0.073,5.79,0.34,9.8,0.9,unknown
DoAr 25,--,--,0.45,0.059,1.9,0.33,--,--,unknown
WL 12,--,--,0.36,0.046,1.4,0.28,--,--,unknown
YLW 15A,--,--,0.40,0.041,2.2,0.42,--,--,unknown
LDN 1709B,--,--,1.17,0.091,4.1,0.61,--,--,unknown
IRAS 22343+7501,0.358,0.029,0.87,0.1,4.9,1.6,17.9,5.0,unknown
