Target,U,B,V,R,Rc,I,Ic,J,H,K,L,M,F1300,e_U,e_B,e_V,e_R,e_Rc,e_I,e_Ic,e_J,e_H,e_K,e_L,e_M,e_F1300
EM* LkHa 198,15.51,15.25,14.32,12.93,--,11.78,--,9.9,7.9,6.3,4.1,3.7,0.4,--,--,--,--,--,--,--,--,--,--,--,--,--
V* V376 Cas,17.12,16.75,15.5,14.28,--,--,--,--,8.07,6.1,4.1,--,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--
BD+61 154,10.7,10.96,10.38,--,9.92,--,9.4,8.5,6.9,5.7,4.3,4,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--
Elia 3-1,--,16.8,15.3,--,--,--,--,8.55,6.91,5.64,4.44,3.84,0.49,--,--,--,--,--,--,--,--,--,--,--,--,--
V* AB Aur,7.21,7.21,7.07,6.82,--,6.69,--,6.1,5.1,4.4,3.3,2.9,0.43,--,--,--,--,--,--,--,--,--,--,--,--,--
V* UX Ori,10.58,10.44,9.98,--,9.64,--,9.19,9.06,8.31,7.36,6.1,5.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--
V* HK Ori,12.25,12.19,11.66,--,11.2,10.76,9.52,8.38,7.29,5.87,5.1,<0.10,,--,--,--,--,--,--,--,--,--,--,--,--,--
HD 245185,9.93,9.98,9.9,--,9.82,--,9.74,9.34,8.87,8.26,7.46,6.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--
V* T Ori,11.18,10.84,10.35,--,10.02,--,9.65,8.45,7.27,6.22,5.05,4.6,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--
V* V380 Ori,10.71,10.87,10.37,--,9.95,--,9.43,8.21,7.18,6.09,4.76,4.07,0.02,--,--,--,--,--,--,--,--,--,--,--,--,0.02
V* BF Ori,12.54,12.28,11.92,--,11.57,--,11.24,10.06,9.07,8.03,6.6,5.8,0.07,--,--,--,--,--,--,--,--,--,--,--,--,0.07
V* RR Tau,11.79,11.52,11.07,--,10.75,--,10.4,9.7,8.3,7.1,5.8,5.5,0.02,--,--,--,--,--,--,--,--,--,--,--,--,0.02
HD 37490,3.7,4.46,4.57,4.57,--,4.67,--,4.72,4.73,4.71,4.57,4.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--
HD 250550,9.32,9.59,9.54,--,9.45,--,9.31,8.59,7.64,6.63,5.58,4.58,0.04,--,--,--,--,--,--,--,--,--,--,--,--,0.04
EM* LkHa 208,12.32,12.05,11.62,--,11.33,--,11.04,--,9.85,8.88,7.28,6.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EM* MWC 137,12.58,13,11.84,--,10.74,--,10.03,8.62,7.48,6.41,5.07,3.87.0.19,,--,--,--,--,--,--,--,--,--,--,--,--,--
EM* LkHa 215,10.88,10.86,10.36,--,9.94,--,9.48,8.46,7.68,6.9,5.82,5.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--
HD 259431,8.44,8.96,8.7,--,8.4,--,8.1,7.48,6.67,5.68,4.35,3.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--
V* R Mon,13.47,13.88,12.8,--,12.17,--,11.23,9.24,7.6,5.83,3.46,2.55,0.1,--,--,--,--,--,--,--,--,--,--,--,--,--
EM* LkHa 25,12.87,12.95,12.75,--,12.55,--,12.35,11.77,10.73,9.42,7.66,6.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--
HD 52721,5.91,6.68,6.62,--,6.53,--,6.43,6.37,6.29,6.14,5.93,5.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EM* LkHa 218,12.49,12.3,11.87,--,11.55,--,11.26,--,9.1,8.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
HD 53367,6.82,7.44,7.01,--,6.65,--,6.24,5.79,5.53,5.24,4.91,4.65,0.1,--,--,--,--,--,--,--,--,--,--,--,--,0.1
