Target,f_S2cm,S2cm,e_S2cm,f_S3.6cm,S3.6cm,e_S3.6cm,f_S6cm,S6cm,e_S6cm,f_F20cm,S20cm,e_S20cm,Date
V* V892 Tau,--,--,--,--,0.44,0.09,--,--,--,--,--,--,1990Feb10
V* V892 Tau,--,--,--,--,0.38,0.09,--,--,--,--,--,--,1990Feb13
V* V892 Tau,--,--,--,--,0.61,0.12,--,0.31,0.09,<,0.59,0.59,1990Sep22
V* V892 Tau,--,0.88,0.57,--,--,--,--,--,--,--,--,--,1991Jun01
V* AB Aur,--,--,--,--,0.14,0.06,--,--,--,--,--,--,1990Feb10
V* AB Aur,<,0.39,0.39,--,0.15,0.15,<,0.20,0.20,--,--,--,1991Jun01
HIP 29988,--,--,--,--,0.58,0.15,--,--,--,--,--,--,1990Feb11
HIP 29988,--,--,--,--,0.55,0.12,--,--,--,--,--,--,1990Feb12
HIP 29988,--,--,--,<,0.26,0.26,<,0.60,0.60,--,--,--,1990Jul13
HD 259431,--,--,--,--,0.13,0.06,--,--,--,--,--,--,1989Feb15
HD 259431,<,0.30,0.30,--,0.14,0.09,<,0.21,0.21,--,--,--,1991Feb08
V* R Mon,--,--,--,--,0.27,0.03,--,--,--,--,--,--,1990Feb10
V* R Mon,--,--,--,--,0.37,0.09,--,--,--,--,--,--,1990Feb13
V* R Mon,--,1.17,0.39,--,0.47,0.12,--,0.29,0.09,--,--,--,1990Sep22
V* Z CMa,--,--,--,--,1.40,0.09,--,--,--,--,--,--,1990Feb11
V* Z CMa,--,--,--,--,1.25,0.12,--,--,--,--,--,--,1990Feb13
V* Z CMa,--,1.61,0.24,--,2.07,0.12,--,2.19,0.18,--,2.96,0.51,1990Oct06
V* Z CMa,--,--,--,--,3.10,0.18,--,--,--,--,--,--,1991Jun01
HD 150193,--,--,--,--,0.12,0.09,--,--,--,--,--,--,1990Feb11
HD 150193,--,--,--,--,0.20,0.09,--,--,--,--,--,--,1991Feb07
V* NZ Ser,--,--,--,--,8.88,0.18,--,--,--,--,--,--,1990Feb11
V* NZ Ser,--,--,--,--,8.80,0.21,--,--,--,--,--,--,1990Feb11
V* NZ Ser,--,--,--,--,14.54,0.42,--,13.34,0.36,--,--,--,1991Feb07
HIP 90617,--,--,--,--,0.50,0.09,--,--,--,--,--,--,1990Feb11
V* TY CrA,--,--,--,--,1.97,0.12,--,2.03,0.18,--,--,--,1989Mar07
V* TY CrA,<,0.54,0.54,--,0.40,0.15,--,0.79,0.21,--,--,--,1990Sep22
V* TY CrA,--,--,--,--,0.60,0.15,--,1.35,0.24,--,--,--,1990Sep25
HD 200775,--,--,--,--,0.60,0.09,--,--,--,--,--,--,1989Feb02
HD 200775,--,--,--,--,0.59,0.09,--,0.40,0.15,<,0.96,0.96,1989Mar07
HD 200775,--,--,--,--,0.62,0.12,--,0.51,0.21,<,0.63,0.63,1990Sep22
HD 200775,--,--,--,--,0.52,0.21,--,--,--,--,--,--,1991Jun01
V* V645 Cyg,--,--,--,<,0.11,0.11,--,--,--,--,--,--,1990Feb12
V* V645 Cyg,--,--,--,--,0.76,0.15,--,0.87,0.21,--,--,--,1991Feb07
V* V645 Cyg,--,--,--,--,0.70,0.21,--,--,--,--,--,--,1991Jun01
