band wvlen F0 ref
'null' 'micron' 'Jy' 'null'
"2MASS:J" 1.2350 1594.0 '2003AJ....126.1090C'
"2MASS:H" 1.6620 1024.0 '2003AJ....126.1090C'
"2MASS:Ks" 2.1590 666.8 '2003AJ....126.1090C'
"SDSS:AB:u" 0.3519 3630.78 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:Vega:u" 0.3519 3680.0 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:AB:g" 0.482 3630.78 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:Vega:g" 0.482 3643.0 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:AB:r" 0.6247 3630.78 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:Vega:r" 0.6247 3648.0 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:AB:i" 0.7625 3630.78 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:Vega:i" 0.7625 3644.0 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:AB:z" 0.9018 3630.78 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"SDSS:Vega:z" 0.9018 3631.0 'http://classic.sdss.org/dr5/algorithms/fluxcal.html'
"Johnson:U" 0.36 1755 'http://coolwiki.ipac.caltech.edu/index.php/Central_wavelengths_and_zero_points'
"Johnson:B" 0.44 4000.87 'http://coolwiki.ipac.caltech.edu/index.php/Central_wavelengths_and_zero_points'
"Johnson:V" 0.55 3597.28 'http://coolwiki.ipac.caltech.edu/index.php/Central_wavelengths_and_zero_points'
"Johnson:R" 0.6938 2890 'VizieR META catalog'
"Cousins:Rc" 0.71 3080 'http://coolwiki.ipac.caltech.edu/index.php/Central_wavelengths_and_zero_points'
"Johnson:I" 0.878 2280 'VizieR META catalog'
"Cousins:Ic" 0.79 2432.84 'http://coolwiki.ipac.caltech.edu/index.php/Central_wavelengths_and_zero_points'
"Johnson:J" 1.25 1602 '2015PASP..127..102M'
"Johnson:H" 1.60 1010 '2015PASP..127..102M'
"Johnson:K" 2.18 630. '2015PASP..127..102M'
"Johnson:L" 3.54 288 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"Johnson:M" 4.80 170 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"Johnson:N" 10.6 36. 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"Johnson:O" 21.0 9.4 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"SPITZER:I1" 3.6 280.9 'http://irsa.ipac.caltech.edu/Missions/spitzer.html'
"SPITZER:I2" 4.5 179.7 'http://irsa.ipac.caltech.edu/Missions/spitzer.html'
"SPITZER:I3" 5.8 115.0 'http://irsa.ipac.caltech.edu/Missions/spitzer.html'
"SPITZER:I4" 8.0 64.13 'http://irsa.ipac.caltech.edu/Missions/spitzer.html'
"SPITZER:M1" 23.68 7.14 'http://irsa.ipac.caltech.edu/Missions/spitzer.html'
"SPITZER:M2" 71.42 0.775 'http://irsa.ipac.caltech.edu/Missions/spitzer.html'
"SPITZER:M3" 155.9 0.159 'http://irsa.ipac.caltech.edu/Missions/spitzer.html'
"WISE:W1" 3.368 309.54 'http://irsa.ipac.caltech.edu/Missions/wise.html'
"WISE:W2" 4.618 171.79 'http://irsa.ipac.caltech.edu/Missions/wise.html'
"WISE:W3" 12.082 31.676 'http://irsa.ipac.caltech.edu/Missions/wise.html'
"WISE:W4" 22.194 0.3635 'http://irsa.ipac.caltech.edu/Missions/wise.html'
"UKIDSS:Z" 0.8817 2232 '2006MNRAS.367..454H'
"UKIDSS:Y" 1.0305 2026 '2006MNRAS.367..454H'
"UKIDSS:J" 1.2483 1530 '2006MNRAS.367..454H'
"UKIDSS:H" 1.6313 1019 '2006MNRAS.367..454H'
"UKIDSS:K" 2.2010 631 '2006MNRAS.367..454H'
"HIP:BT" 0.422 4035 '2015PASP..127..102M'
"HIP:VT" 0.535 3844 '2015PASP..127..102M'
"UKIRT:V" 0.5556 3540 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:I" 0.9 2250 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:J" 1.25 1600 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:H" 1.65 1020 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:K" 2.20 657 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:L" 3.45 2.90 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:L'" 3.80 2.52 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:M" 4.8 163 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:N" 10.1 39.8 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"UKIRT:Q" 20.0 10.4 'http://irsa.ipac.caltech.edu/data/SPITZER/docs/spitzermission/missionoverview/spitzertelescopehandbook/19/'
"ESO:J" 1.23 1634 '1992ApJ...398..254B'
"ESO:H" 1.63 1116 '1992ApJ...398..254B'
"ESO:K" 2.19 653 '1992ApJ...398..254B'
"ESO:L" 3.79 250 '1992ApJ...398..254B'
"ESO:M" 4.64 175 '1992ApJ...398..254B'
"ESO:N1" 8.38 48.7 '1992ApJ...398..254B'
"ESO:N2" 9.69 35.1 '1992ApJ...398..254B'
"ESO:N3" 12.89 19.7 '1992ApJ...398..254B'
"XMMOM:UVW2" 0.2119 755.0 '2012MNRAS.426..903P'
"XMMOM:UVM2" 0.2311 802.0 '2012MNRAS.426..903P'
"XMMOM:UVW1" 0.2908 1035.0 '2012MNRAS.426..903P'
"XMMOM:U" 0.3441 1542.0 '2012MNRAS.426..903P'
"XMMOM:B" 0.4506 4306.0 '2012MNRAS.426..903P'
"XMMOM:V" 0.543 3768.0 '2012MNRAS.426..903P'
"Gaia:G" 0.673 3016.0 'https://www.cosmos.esa.int/web/gaia/iow_20180316/'
"Gaia:GBP" 0.505 3535.0 'https://www.cosmos.esa.int/web/gaia/iow_20180316/'
"Gaia:GRP" 0.773 2620.0 'https://www.cosmos.esa.int/web/gaia/iow_20180316/'
"GALEX:AB:FUV" 0.1529 3631.0 '2012MNRAS.426..903P'
"GALEX:AB:NUV" 0.2312 3631.0 '2012MNRAS.426..903P'
"Stromgren:u" 0.35 1300.0 'VizieR META catalog'
"Stromgren:v" 0.41 4200.0 'VizieR META catalog'
"Stromgren:b" 0.47 4200.0 'VizieR META catalog'
"Stromgren:y" 0.55 3600.0 'VizieR META catalog'
